2026-07-28 11:53:09 INFO     services.loader [contacts] update lote 15000-15100: HTTP 200, 100 ok, 0 falhas
2026-07-28 11:53:10 INFO     services.loader [contacts] update lote 15100-15200: HTTP 200, 100 ok, 0 falhas
2026-07-28 11:53:11 INFO     services.loader [contacts] update lote 15200-15300: HTTP 200, 100 ok, 0 falhas
2026-07-28 11:53:12 INFO     services.loader [contacts] update lote 15300-15400: HTTP 200, 100 ok, 0 falhas
2026-07-28 11:53:13 INFO     services.loader [contacts] update lote 15400-15500: HTTP 200, 100 ok, 0 falhas
2026-07-28 11:53:14 INFO     services.loader [contacts] update lote 15500-15600: HTTP 200, 100 ok, 0 falhas
2026-07-28 11:53:15 INFO     services.loader [contacts] update lote 15600-15700: HTTP 200, 100 ok, 0 falhas
2026-07-28 11:53:16 INFO     services.loader [contacts] update lote 15700-15800: HTTP 200, 100 ok, 0 falhas
2026-07-28 11:53:17 INFO     services.loader [contacts] update lote 15800-15900: HTTP 200, 100 ok, 0 falhas
2026-07-28 11:53:18 INFO     services.loader [contacts] update lote 15900-16000: HTTP 200, 100 ok, 0 falhas
2026-07-28 11:53:19 INFO     services.loader [contacts] update lote 16000-16100: HTTP 200, 100 ok, 0 falhas
2026-07-28 11:53:20 INFO     services.loader [contacts] update lote 16100-16200: HTTP 200, 100 ok, 0 falhas
2026-07-28 11:53:21 INFO     services.loader [contacts] update lote 16200-16300: HTTP 200, 100 ok, 0 falhas
2026-07-28 11:53:22 INFO     services.loader [contacts] update lote 16300-16400: HTTP 200, 100 ok, 0 falhas
2026-07-28 11:53:23 INFO     services.loader [contacts] update lote 16400-16500: HTTP 200, 100 ok, 0 falhas
2026-07-28 11:53:24 INFO     services.loader [contacts] update lote 16500-16600: HTTP 200, 100 ok, 0 falhas
2026-07-28 11:53:25 INFO     services.loader [contacts] update lote 16600-16700: HTTP 200, 100 ok, 0 falhas
2026-07-28 11:53:26 INFO     services.loader [contacts] update lote 16700-16800: HTTP 200, 100 ok, 0 falhas
2026-07-28 11:53:27 INFO     services.loader [contacts] update lote 16800-16900: HTTP 200, 100 ok, 0 falhas
2026-07-28 11:53:28 INFO     services.loader [contacts] update lote 16900-17000: HTTP 200, 100 ok, 0 falhas
2026-07-28 11:53:29 INFO     services.loader [contacts] update lote 17000-17100: HTTP 200, 100 ok, 0 falhas
2026-07-28 11:53:29 INFO     services.loader [contacts] update lote 17100-17200: HTTP 200, 100 ok, 0 falhas
2026-07-28 11:53:30 INFO     services.loader [contacts] update lote 17200-17300: HTTP 200, 100 ok, 0 falhas
2026-07-28 11:53:31 INFO     services.loader [contacts] update lote 17300-17400: HTTP 200, 100 ok, 0 falhas
2026-07-28 11:53:32 INFO     services.loader [contacts] update lote 17400-17500: HTTP 200, 100 ok, 0 falhas
2026-07-28 11:53:33 INFO     services.loader [contacts] update lote 17500-17600: HTTP 200, 100 ok, 0 falhas
2026-07-28 11:53:34 INFO     services.loader [contacts] update lote 17600-17700: HTTP 200, 100 ok, 0 falhas
2026-07-28 11:53:35 INFO     services.loader [contacts] update lote 17700-17800: HTTP 200, 100 ok, 0 falhas
2026-07-28 11:53:36 INFO     services.loader [contacts] update lote 17800-17900: HTTP 200, 100 ok, 0 falhas
2026-07-28 11:53:38 INFO     services.loader [contacts] update lote 17900-18000: HTTP 200, 100 ok, 0 falhas
2026-07-28 11:53:39 INFO     services.loader [contacts] update lote 18000-18100: HTTP 200, 100 ok, 0 falhas
2026-07-28 11:53:40 INFO     services.loader [contacts] update lote 18100-18200: HTTP 200, 100 ok, 0 falhas
2026-07-28 11:53:41 INFO     services.loader [contacts] update lote 18200-18300: HTTP 200, 100 ok, 0 falhas
2026-07-28 11:53:42 INFO     services.loader [contacts] update lote 18300-18400: HTTP 200, 100 ok, 0 falhas
2026-07-28 11:53:42 INFO     services.loader [contacts] update lote 18400-18500: HTTP 200, 100 ok, 0 falhas
2026-07-28 11:53:43 INFO     services.loader [contacts] update lote 18500-18600: HTTP 200, 100 ok, 0 falhas
2026-07-28 11:53:44 INFO     services.loader [contacts] update lote 18600-18700: HTTP 200, 100 ok, 0 falhas
2026-07-28 11:53:45 INFO     services.loader [contacts] update lote 18700-18800: HTTP 200, 100 ok, 0 falhas
2026-07-28 11:53:46 INFO     services.loader [contacts] update lote 18800-18900: HTTP 200, 100 ok, 0 falhas
2026-07-28 11:53:47 INFO     services.loader [contacts] update lote 18900-19000: HTTP 200, 100 ok, 0 falhas
2026-07-28 11:53:48 INFO     services.loader [contacts] update lote 19000-19100: HTTP 200, 100 ok, 0 falhas
2026-07-28 11:53:49 INFO     services.loader [contacts] update lote 19100-19200: HTTP 200, 100 ok, 0 falhas
2026-07-28 11:53:50 INFO     services.loader [contacts] update lote 19200-19300: HTTP 200, 100 ok, 0 falhas
2026-07-28 11:53:52 INFO     services.loader [contacts] update lote 19300-19400: HTTP 200, 100 ok, 0 falhas
2026-07-28 11:53:53 INFO     services.loader [contacts] update lote 19400-19500: HTTP 200, 100 ok, 0 falhas
2026-07-28 11:53:53 INFO     services.loader [contacts] update lote 19500-19600: HTTP 200, 100 ok, 0 falhas
2026-07-28 11:53:54 INFO     services.loader [contacts] update lote 19600-19700: HTTP 200, 100 ok, 0 falhas
2026-07-28 11:53:55 INFO     services.loader [contacts] update lote 19700-19800: HTTP 200, 100 ok, 0 falhas
2026-07-28 11:53:56 INFO     services.loader [contacts] update lote 19800-19900: HTTP 200, 100 ok, 0 falhas
2026-07-28 11:53:57 INFO     services.loader [contacts] update lote 19900-20000: HTTP 200, 100 ok, 0 falhas
2026-07-28 11:53:58 INFO     services.loader [contacts] update lote 20000-20100: HTTP 200, 100 ok, 0 falhas
2026-07-28 11:53:59 INFO     services.loader [contacts] update lote 20100-20200: HTTP 200, 100 ok, 0 falhas
2026-07-28 11:54:00 INFO     services.loader [contacts] update lote 20200-20300: HTTP 200, 100 ok, 0 falhas
2026-07-28 11:54:01 INFO     services.loader [contacts] update lote 20300-20400: HTTP 200, 100 ok, 0 falhas
2026-07-28 11:54:02 INFO     services.loader [contacts] update lote 20400-20500: HTTP 200, 100 ok, 0 falhas
2026-07-28 11:54:03 INFO     services.loader [contacts] update lote 20500-20600: HTTP 200, 100 ok, 0 falhas
2026-07-28 11:54:04 INFO     services.loader [contacts] update lote 20600-20700: HTTP 200, 100 ok, 0 falhas
2026-07-28 11:54:05 INFO     services.loader [contacts] update lote 20700-20800: HTTP 200, 100 ok, 0 falhas
2026-07-28 11:54:06 INFO     services.loader [contacts] update lote 20800-20900: HTTP 200, 100 ok, 0 falhas
2026-07-28 11:54:07 INFO     services.loader [contacts] update lote 20900-21000: HTTP 200, 100 ok, 0 falhas
2026-07-28 11:54:08 INFO     services.loader [contacts] update lote 21000-21100: HTTP 200, 100 ok, 0 falhas
2026-07-28 11:54:09 INFO     services.loader [contacts] update lote 21100-21200: HTTP 200, 100 ok, 0 falhas
2026-07-28 11:54:10 INFO     services.loader [contacts] update lote 21200-21300: HTTP 200, 100 ok, 0 falhas
2026-07-28 11:54:11 INFO     services.loader [contacts] update lote 21300-21400: HTTP 200, 100 ok, 0 falhas
2026-07-28 11:54:12 INFO     services.loader [contacts] update lote 21400-21500: HTTP 200, 100 ok, 0 falhas
2026-07-28 11:54:13 INFO     services.loader [contacts] update lote 21500-21600: HTTP 200, 100 ok, 0 falhas
2026-07-28 11:54:14 INFO     services.loader [contacts] update lote 21600-21700: HTTP 200, 100 ok, 0 falhas
2026-07-28 11:54:15 INFO     services.loader [contacts] update lote 21700-21800: HTTP 200, 100 ok, 0 falhas
2026-07-28 11:54:16 INFO     services.loader [contacts] update lote 21800-21900: HTTP 200, 100 ok, 0 falhas
2026-07-28 11:54:17 INFO     services.loader [contacts] update lote 21900-22000: HTTP 200, 100 ok, 0 falhas
2026-07-28 11:54:18 INFO     services.loader [contacts] update lote 22000-22100: HTTP 200, 100 ok, 0 falhas
2026-07-28 11:54:19 INFO     services.loader [contacts] update lote 22100-22200: HTTP 200, 100 ok, 0 falhas
2026-07-28 11:54:20 INFO     services.loader [contacts] update lote 22200-22300: HTTP 200, 100 ok, 0 falhas
2026-07-28 11:54:21 INFO     services.loader [contacts] update lote 22300-22400: HTTP 200, 100 ok, 0 falhas
2026-07-28 11:54:22 INFO     services.loader [contacts] update lote 22400-22500: HTTP 200, 100 ok, 0 falhas
2026-07-28 11:54:23 INFO     services.loader [contacts] update lote 22500-22600: HTTP 200, 100 ok, 0 falhas
2026-07-28 11:54:24 INFO     services.loader [contacts] update lote 22600-22700: HTTP 200, 100 ok, 0 falhas
2026-07-28 11:54:25 INFO     services.loader [contacts] update lote 22700-22800: HTTP 200, 100 ok, 0 falhas
2026-07-28 11:54:26 INFO     services.loader [contacts] update lote 22800-22900: HTTP 200, 100 ok, 0 falhas
2026-07-28 11:54:27 INFO     services.loader [contacts] update lote 22900-23000: HTTP 200, 100 ok, 0 falhas
2026-07-28 11:54:28 INFO     services.loader [contacts] update lote 23000-23100: HTTP 200, 100 ok, 0 falhas
2026-07-28 11:54:29 INFO     services.loader [contacts] update lote 23100-23200: HTTP 200, 100 ok, 0 falhas
2026-07-28 11:54:29 INFO     services.loader [contacts] update lote 23200-23227: HTTP 200, 27 ok, 0 falhas
2026-07-28 11:54:29 INFO     services.loader [contacts] update concluído: 23227 enviados, 23227 ok, 0 falhas
